File,PID,mods_titleInfo_title_ms,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_hasModel_uri_ms,fedora_datastream_info_HOCR_ID_ms,fedora_datastream_info_JP2_ID_ms,fedora_datastream_info_TRANSCRIPT_ID_ms,Num_Pages
pitt_collection_1_test.csv,pitt:31735056284734-0162,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0237,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0329,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0242,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0283,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0417,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0352,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0595,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0167,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0416,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0115,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0320,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:aud0111,Pileated Woodpecker,collection.1|collection.153,sp_large_image_cmodel,,JP2,,0
pitt_collection_1_test.csv,pitt:aud0217,Louisiana Heron; Tricolored Heron,collection.1|collection.153,sp_large_image_cmodel,,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284726-0518,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0482,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0592,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0001,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0141,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0478,,,pageCModel,HOCR,JP2,,0
