Solr_Field,Original_Heading,Count,Valid_Heading,URI,Authority,Type,Thoroughfares_Features,Action,Change_To,Changed,Note
mods_subject_topic_ms,"Griggs, Christine",5,"Griggs, Christine",,local,personal,,,,false,
mods_subject_topic_ms,"Grimes, Lavinia",1,"Grimes, Lavinia",,local,personal,,,,false,
mods_subject_topic_ms,Grimm family.,2,Grimm family,http://id.loc.gov/authorities/subjects/sh86006339,lcsh,family,,replace,Grimm family,true,
mods_subject_name_conference_namePart_ms,Grinnell Expedition (2nd : 1853-1855),2,Grinnell Expedition (2nd : 1853-1855),http://id.loc.gov/authorities/names/no2016125913,naf,conference,,,,false,
mods_subject_name_corporate_namePart_ms,Griper (Ship),1,Griper (Ship),http://id.loc.gov/authorities/names/no2003012477,naf,corporate,,,,false,
mods_subject_topic_ms,"Grogan Building (Pittsburgh, Pa.)",2,"Grogan Building (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Grooms, Herman.",1,"Grooms, Herman",,local,personal,,replace,"Grooms, Herman",true,
mods_subject_topic_ms,"Grose, Francis.",1,"Grose, Francis, 1731?-1791",http://id.loc.gov/authorities/names/n50032813,naf,personal,,replace,"Grose, Francis, 1731?-1791",true,
mods_subject_topic_ms,"Gross, Elmer",1,"Gross, Elmer",,local,personal,,,,false,
mods_subject_topic_ms,"Gross, Elmer C.",1,"Gross, Elmer C.",,local,personal,,,,false,
mods_subject_topic_ms,"Gross, J., fl. 1834.",1,"Gross, J., active 1834",,local,personal,,replace,"Gross, J., active 1834",true,
mods_subject_topic_ms,"Grotius, Hugo 1585-1645.",1,"Grotius, Hugo, 1583-1645",http://id.loc.gov/authorities/names/n78087113,naf,personal,,replace,"Grotius, Hugo, 1583-1645",true,
mods_subject_name_personal_namePart_ms,"Grow, Galusha A. (Galusha Aaron), 1823-1907",1,"Grow, Galusha A. (Galusha Aaron), 1823-1907",http://id.loc.gov/authorities/names/n88013445,naf,personal,,,,false,
mods_subject_topic_ms,"Grow, Laura Myrtle",1,"Grow, Laura Myrtle",,local,personal,,,,false,
mods_subject_topic_ms,"Grubbs and Sons Insurance (Oakmont, Pa.)",1,"Grubbs and Sons Insurance (Oakmont, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Grubbs, ""Pop""",1,"Grubbs, ""Pop""",,local,personal,,,,false,
mods_subject_topic_ms,"Grubbs, Abe",1,"Grubbs, Abe",,local,personal,,,,false,
mods_subject_topic_ms,"Guentert's Bakery (Pittsburgh, Pa.)",1,"Guentert's Bakery (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Guest, Jefferey",1,"Guest, Jefferey",,local,personal,,,,false,
mods_subject_topic_ms,"Guest, Marigolden (Gigi).",1,"Guest, Marigolden (Gigi)",,local,personal,,replace,"Guest, Marigolden (Gigi)",true,
mods_subject_topic_ms,"Guffy, James McClurg 1839-1930",1,"Guffy, James McClurg, 1839-1930",,local,personal,,replace,"Guffy, James McClurg, 1839-1930",true,
mods_subject_topic_ms,"Guild, Lurelle Van Arsdale, 1898-1985.",6,"Guild, Lurelle Van Arsdale, 1898-1985",http://id.loc.gov/authorities/names/nr00037164,naf,personal,,replace,"Guild, Lurelle Van Arsdale, 1898-1985",true,
mods_subject_topic_ms,"Gulf Building (Pittsburgh, Pa.)",26,"Gulf Building (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,Gulf Oil Corporation.,51,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,replace,Gulf Oil Corporation,true,
mods_subject_topic_ms,"Gulf Research Building (Harmarville, Pa.).Petrochemistry Laboratory.",1,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,split,Gulf Oil Corporation,true,reviewed
mods_subject_topic_ms,"Gulf Research Building (Harmarville, Pa.).Leovy Laboratory of Geophysics.",2,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,split,Gulf Oil Corporation,true,reviewed
mods_subject_topic_ms,"Gulf Oil Company (Harmarville, Pa.)",1,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,replace,Gulf Oil Corporation,true,
mods_subject_topic_ms,"Gulf Oil Corporation (Harmarville, Pa.).Research Center.Drilling Building.",1,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,split,Gulf Oil Corporation,true,reviewed
mods_subject_topic_ms,"Gulf Oil Corporation (Pittsburgh, Pa.)",1,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,replace,Gulf Oil Corporation,true,
mods_subject_topic_ms,"Gulf Oil Corporation (Harmarville, Pa.).Research Center.Leovy Laboratory of Geophysics.",1,Gulf Oil Corporation,http://id.loc.gov/authorities/names/n79097391,naf,corporate,,split,Gulf Oil Corporation,true,reviewed
mods_subject_topic_ms,"Gulf Oil Corporation (Harmarville, Pa.).Research Center.Drilling Building.",1,"Gulf Oil Corporation (Harmarville, Pa.). Research Center. Drilling Building",,local,corporate,,replace,"Gulf Oil Corporation (Harmarville, Pa.). Research Center. Drilling Building",true,
mods_subject_topic_ms,"Gulf Oil Corporation (Harmarville, Pa.).Research Center.Leovy Laboratory of Geophysics.",1,"Gulf Oil Corporation (Harmarville, Pa.). Research Center. Leovy Laboratory of Geophysics",,local,corporate,,replace,"Gulf Oil Corporation (Harmarville, Pa.). Research Center. Leovy Laboratory of Geophysics",true,
mods_subject_topic_ms,Gulf Research & Development Co.,33,Gulf Research & Development Co.,http://id.loc.gov/authorities/names/n79078718,naf,corporate,,,,false,
mods_subject_topic_ms,"Gulf Research and Development Company (Harmarville, Pa.)",1,Gulf Research & Development Co.,http://id.loc.gov/authorities/names/n79078718,naf,corporate,,replace,Gulf Research & Development Co.,true,
mods_subject_topic_ms,"Gulf Research Building (Harmarville, Pa.).Leovy Laboratory of Geophysics.",2,"Gulf Research Building (Harmarville, Pa.). Leovy Laboratory of Geophysics",,local,corporate,,replace,"Gulf Research Building (Harmarville, Pa.). Leovy Laboratory of Geophysics",true,
mods_subject_topic_ms,"Gulf Research Building (Harmarville, Pa.).Petrochemistry Laboratory.",1,"Gulf Research Building (Harmarville, Pa.). Petrochemistry Laboratory",,local,corporate,,replace,"Gulf Research Building (Harmarville, Pa.). Petrochemistry Laboratory",true,
mods_subject_topic_ms,"Gulf Station (Plum, Pa.)",1,"Gulf Station (Plum, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Gulf Tower (Pittsburgh, Pa.)",11,"Gulf Tower (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Gullett, E. S.",1,"Gullett, E. S.",,local,personal,,,,false,
mods_subject_topic_ms,Duquesne University.Gumberg Library.,1,Gumberg Library,,local,corporate,,replace,Gumberg Library,true,
mods_subject_topic_ms,"Gumbert, Addison C.",1,"Gumbert, Addison C.",,local,personal,,,,false,
mods_subject_name_personal_namePart_ms,"Gummere, John, 1784-1845",1,"Gummere, John, 1784-1845",http://id.loc.gov/authorities/names/n86854565,naf,personal,,,,false,
mods_subject_topic_ms,"Gurney, Thomas, 1705-1770.",1,"Gurney, Thomas, 1705-1770",http://id.loc.gov/authorities/names/n85024877,naf,personal,,replace,"Gurney, Thomas, 1705-1770",true,
mods_subject_topic_ms,"Gustaf III, King of Sweden, 1746-1792",2,"Gustav III, King of Sweden, 1746-1792",http://id.loc.gov/authorities/names/n80056900,naf,personal,,replace,"Gustav III, King of Sweden, 1746-1792",true,
mods_subject_topic_ms,"King of Sweden, Gustavus III, 1746-1792",1,"Gustav III, King of Sweden, 1746-1792",http://id.loc.gov/authorities/names/n80056900,naf,personal,,replace,"Gustav III, King of Sweden, 1746-1792",true,
mods_subject_topic_ms,"Gustaf III, King of Sweden, 1746-1792.",1,"Gustav III, King of Sweden, 1746-1792",http://id.loc.gov/authorities/names/n80056900,naf,personal,,replace,"Gustav III, King of Sweden, 1746-1792",true,
mods_subject_topic_ms,"Gustavus III, 1746-1792.",1,"Gustav III, King of Sweden, 1746-1792",http://id.loc.gov/authorities/names/n80056900,naf,personal,,replace,"Gustav III, King of Sweden, 1746-1792",true,
mods_subject_topic_ms,"Gustavus III, King of Sweden, 1746-1792.",1,"Gustav III, King of Sweden, 1746-1792",http://id.loc.gov/authorities/names/n80056900,naf,personal,,replace,"Gustav III, King of Sweden, 1746-1792",true,
